PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
1,0,3,"braund, mr. owen harris",0,22,1,0,A/5 21171,0.014151057562208049,False,True
2,1,1,"cumings, mrs. john bradley (florence briggs thayer)",1,38,1,0,PC 17599,0.13913573538264068,False,False
3,1,3,"heikkinen, miss. laina",1,26,0,0,STON/O2. 3101282,0.015468569817999833,False,True
4,1,1,"futrelle, mrs. jacques heath (lily may peel)",1,35,1,0,113803,0.10364429745562033,False,True
5,0,3,"allen, mr. william henry",0,35,0,0,373450,0.015712553569072387,False,True
6,0,3,"moran, mr. james",0,28,0,0,330877,0.01650950209357577,True,False
7,0,1,"mccarthy, mr. timothy j",0,54,0,0,17463,0.10122885832000206,False,True
9,1,3,"johnson, mrs. oscar w (elisabeth vilhelmina berg)",1,27,0,2,347742,0.021730754366528396,False,True
10,1,2,"nasser, mrs. nicholas (adele achem)",1,14,1,0,237736,0.058694292654020104,False,False
11,1,3,"sandstrom, miss. marguerite rut",1,4,1,1,PP 9549,0.03259622914329302,False,True
13,0,3,"saundercock, mr. william henry",0,20,0,0,A/5. 2151,0.015712553569072387,False,True
14,0,3,"andersson, mr. anders johan",0,39,1,5,347082,0.06104473451835265,False,True
15,0,3,"vestrom, miss. hulda amanda adolfina",1,14,0,0,350406,0.015330377421392339,False,True
18,1,2,"williams, mr. charles eugene",0,28,0,0,244373,0.025374310111545468,False,True
19,0,3,"vander planke, mrs. julius (emelia maria vandemoortele)",1,31,1,0,345763,0.03513366015444757,False,True
20,1,3,"masselmani, mrs. fatima",1,28,0,0,2649,0.014102260811993537,False,False
21,0,2,"fynney, mr. joseph j",0,35,0,0,239865,0.050748620223090936,False,True
22,1,2,"beesley, mr. lawrence",0,34,0,0,248698,0.025374310111545468,False,True
23,1,3,"mcgowan, miss. anna ""annie""",1,15,0,0,330923,0.015671954672893913,True,False
24,1,1,"sloper, mr. william thompson",0,28,0,0,113788,0.06929138530460492,False,True
25,0,3,"palsson, miss. torborg danira",1,8,3,1,349909,0.04113566043083236,False,True
26,1,3,"asplund, mrs. carl oscar (selma augusta emilia johansson)",1,38,1,5,347077,0.061264319894317944,False,True
27,0,3,"emir, mr. farred chehab",0,28,0,0,2631,0.014102260811993537,False,False
28,0,1,"fortune, mr. charles alexander",0,19,3,2,19950,0.5133418122566505,False,True
29,1,3,"o'dwyer, miss. ellen ""nellie""",1,28,0,0,330959,0.01537917417160685,True,False
30,0,3,"todoroff, mr. lalio",0,28,0,0,349216,0.015411575213749284,False,True
31,0,1,"uruchurtu, don. manuel e",0,40,0,0,PC 17601,0.05410739813385612,False,False
32,1,1,"spencer, mrs. william augustus (marie eugenie)",1,28,1,0,PC 17569,0.2859895551532101,False,False
33,1,3,"glynn, miss. mary agatha",1,28,0,0,335677,0.015126992566498259,True,False
35,0,1,"meyer, mr. edgar joseph",0,28,1,0,PC 17604,0.16038672010106,False,False
36,0,1,"holverson, mr. alexander oskar",0,42,1,0,113789,0.10149724044618187,False,True
37,1,3,"mamee, mr. hanna",0,28,0,0,2677,0.014110458666029575,False,False
38,0,3,"cann, mr. ernest charles",0,21,0,0,A./5. 2152,0.015712553569072387,False,True
39,0,3,"vander planke, miss. augusta maria",1,18,2,0,345764,0.03513366015444757,False,True
40,1,3,"nicola-yarred, miss. jamila",1,14,1,0,2651,0.021942337075458514,False,False
41,0,3,"ahlin, mrs. johan (johanna persdotter larsson)",1,40,1,0,7546,0.018493968331299484,False,True
42,0,2,"turpin, mrs. william john robert (dorothy ann wonnacott)",1,27,1,0,11668,0.04098927018018883,False,True
43,0,3,"kraeff, mr. theodor",0,28,0,0,349253,0.015411575213749284,False,False
44,1,2,"laroche, miss. simonne marie anne andree",1,3,1,2,SC/Paris 2123,0.08115719346076702,False,False
45,1,3,"devaney, miss. margaret delia",1,19,0,0,330958,0.01537917417160685,True,False
46,0,3,"rogers, mr. william john",0,28,0,0,S.C./A.4. 23567,0.015712553569072387,False,True
47,0,3,"lennon, mr. denis",0,28,1,0,370371,0.030253985132996517,True,False
